Asset Description,Unique Identifier,Asset Type,Manufacturer,Model,Serial Number,Location,Building,Floor,Room,IP Addresses,MAC Addresses,Connectivity Status,Business Unit,Department,Criticality Level,Data Classification,Contains PII,Contains PHI,Contains Financial Data,Purchase Date,Warranty Expiry Date,Vendor,Notes
Application Server - Production,PHY-APP-001,server,IBM,PowerEdge R750,SN-IBM-APP-001,Data Center B,Building 1,3,Server Room 301,"10.0.1.20, 10.0.1.21","AA:BB:CC:DD:EE:01, AA:BB:CC:DD:EE:02",connected,IT Operations,Application Services,critical,Confidential,false,false,true,2024-01-10,2027-01-10,IBM Corporation,Primary application server for ERP system
Security Workstation - IT,PHY-SEC-001,workstation,Dell,OptiPlex 7090,SN-DELL-SEC-001,Office Building A,Building 2,5,Security Office,192.168.5.100,BB:CC:DD:EE:FF:01,connected,IT Operations,Security,high,Confidential,true,false,true,2024-02-15,2027-02-15,Dell Technologies,Security team workstation with encrypted storage
Network Router - Edge,PHY-ROUTER-001,network_device,Juniper,MX204,SN-JUNIPER-001,Data Center B,Building 1,1,Network Room 101,10.0.0.1,CC:DD:EE:FF:AA:01,connected,IT Operations,Network Infrastructure,critical,Internal,false,false,false,2023-12-01,2026-12-01,Juniper Networks,Edge router for internet connectivity
Tablet Device - Field Service,PHY-TAB-001,mobile_device,Samsung,Galaxy Tab S9,SN-SAMSUNG-001,Field Office,Remote,N/A,N/A,172.16.0.50,DD:EE:FF:AA:BB:01,connected,Operations,Field Services,medium,Confidential,true,false,false,2024-03-01,2026-03-01,Samsung Electronics,Field service technician tablet
Smart Camera - Parking Lot,PHY-CAM-001,iot_device,Axis,AXIS P3245-LVE,SN-AXIS-001,Parking Lot,Building 1,0,Exterior,192.168.10.50,EE:FF:AA:BB:CC:01,connected,Security,Physical Security,medium,Public,false,false,false,2024-01-20,2027-01-20,Axis Communications,Security camera for parking lot monitoring
Multifunction Printer - Finance,PHY-PRN-FIN-001,printer,Konica Minolta,bizhub C658,SN-KONICA-001,Office Building A,Building 2,6,Finance Office,192.168.6.150,FF:AA:BB:CC:DD:01,connected,Finance,Accounting,high,Confidential,true,false,true,2023-11-15,2026-11-15,Konica Minolta,Secure printer for financial documents
SAN Storage - Database,PHY-SAN-001,storage_device,NetApp,AFF A250,SN-NETAPP-SAN-001,Data Center B,Building 1,3,Storage Room 302,10.0.2.10,AA:11:22:33:44:01,connected,IT Operations,Database Services,critical,Confidential,false,false,true,2023-10-01,2028-10-01,NetApp,Storage array for production databases
Backup Server - Secondary,PHY-BKP-002,server,HPE,ProLiant DL380 Gen11,SN-HPE-BKP-002,DR Site,Building 4,2,Server Room 202,10.10.1.10,11:22:33:44:55:01,connected,IT Operations,Disaster Recovery,critical,Internal,false,false,false,2024-04-01,2027-04-01,Hewlett Packard Enterprise,Secondary backup server
Development Laptop - Engineering,PHY-LAP-001,workstation,Apple,MacBook Pro 16,SN-APPLE-LAP-001,Office Building A,Building 2,4,Engineering Lab,192.168.4.75,22:33:44:55:66:01,connected,Engineering,Development,medium,Internal,true,false,false,2024-05-01,2027-05-01,Apple Inc,Development laptop for iOS app development
Network Access Point - Warehouse,PHY-AP-001,network_device,Aruba,AP-635,SN-ARUBA-001,Warehouse,Building 3,1,Warehouse Floor,192.168.3.200,33:44:55:66:77:01,connected,IT Operations,Network Infrastructure,medium,Internal,false,false,false,2024-02-01,2027-02-01,Aruba Networks,Wireless access point for warehouse operations








